iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,12,0.08409962058067322
1000,-1.0,2.0,14,0.03594188392162323
1500,-0.92,2.08,13,0.034048259258270264
2000,-1.0,2.0,13,0.014269573614001274
2500,-0.92,2.08,12,0.011143725365400314
3000,-0.77,2.23,13,0.0014166850596666336
3500,-1.0,2.0,13,0.0027963845059275627
4000,-1.0,2.0,13,0.00018125257338397205
4500,-1.0,2.0,12,0.00011081522097811103
5000,-0.85,2.15,13,0.00011254633136559278
5500,-0.92,2.08,12,0.001019858755171299
6000,-1.0,2.0,12,0.0005952903884463012
6500,-1.0,2.0,12,0.00017187130288220942
7000,-0.92,2.08,12,5.2042661991436034e-05
7500,-0.53,2.06,17,1.692672958597541e-05
8000,-0.44,2.17,18,0.0007983778486959636
8500,-0.75,2.25,12,4.369618545752019e-05
9000,-0.47,2.11,19,4.5080836571287364e-05
9500,-1.0,2.0,12,0.0006230857688933611
10000,-1.0,2.0,12,0.00010577723878668621
10500,-0.47,2.0,15,2.5053954232134856e-05
11000,-0.17,2.17,12,5.479576429934241e-05
11500,-0.4,2.13,15,4.392692426335998e-05
12000,-0.08,2.0,12,0.0010495325550436974
12500,-0.57,2.14,14,6.7320725065656e-05
13000,-0.92,2.08,12,2.9440521757351235e-05
13500,-0.83,2.17,12,1.6986530681606382e-05
14000,-1.0,2.0,12,0.002237069420516491
14500,-0.29,2.07,14,0.0005007601575925946
15000,-0.38,2.0,13,4.529787474893965e-05
15500,-0.71,2.0,14,1.537952084618155e-05
16000,-0.83,2.17,12,4.3232717871433124e-05
16500,-0.29,2.24,17,3.4249620512127876e-05
17000,-0.36,2.07,14,3.023276076419279e-05
17500,-0.38,2.12,16,4.0330440242541954e-05
18000,-0.44,2.06,16,3.1198349461192265e-05
18500,-0.17,2.25,12,1.3570001101470552e-05
19000,-0.75,2.25,12,0.0005906144506298006
19500,-0.41,2.18,17,3.3066997275454924e-05
20000,-0.2,2.13,15,3.874280446325429e-05
20500,-0.17,2.0,12,7.665867451578379e-05
21000,-0.36,2.07,14,0.00013462986680679023
21500,-0.53,2.06,17,3.8173286156961694e-05
22000,-0.17,2.08,12,7.301579171326011e-05
22500,-1.0,2.0,12,3.940351598430425e-05
23000,-0.27,2.07,15,0.0009982074843719602
23500,-0.33,2.08,12,1.096965297620045e-05
24000,-0.21,2.07,14,4.645933222491294e-05
24500,-0.92,2.08,12,2.521994429116603e-05
25000,-0.14,2.21,14,1.53253240569029e-05
25500,-0.43,2.0,14,0.0017884914996102452
26000,-0.08,2.17,12,1.3317967386683449e-05
26500,0.08,2.08,12,5.3505100368056446e-05
27000,-0.07,2.36,14,6.326912989607081e-05
27500,-0.53,2.06,17,1.3245722584542818e-05
28000,-0.33,2.0,12,0.0025534776505082846
28500,-0.25,2.0,12,2.5581430236343294e-05
29000,-0.67,2.0,15,2.5775556423468515e-05
29500,-0.08,2.15,13,2.958594632218592e-05
30000,-0.17,2.0,12,0.00029161505517549813
30500,0.08,2.08,12,0.0002683659549802542
31000,-0.53,2.0,15,0.0018449074123054743
31500,-0.13,2.27,15,3.773058415390551e-05
32000,-0.33,2.08,12,5.893652996746823e-05
32500,-0.08,2.15,13,0.00013269405462779105
33000,-0.57,2.07,14,0.0006519980379380286
33500,-0.44,2.11,18,1.9938417608500458e-05
34000,-0.29,2.14,14,3.511147224344313e-05
34500,-0.23,2.0,13,3.814761294052005e-05
35000,-0.33,2.0,15,2.0218261852278374e-05
35500,-0.27,2.07,15,9.881296136882156e-05
36000,-0.5,2.0,12,5.25067480339203e-05
36500,0.0,2.08,12,1.6472024071845226e-05
37000,-0.23,2.15,13,2.0954952560714446e-05
37500,-0.08,2.15,13,0.000323942513205111
38000,-0.07,2.27,15,1.2543341654236428e-05
